essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
59	1	"You @MONTH1 find this hard to beleive, but many people think computers put a negative attitude on people. Now you @MONTH1 be saying thats not true, that everyone has a computer, but the truth is they don't and they believe it puts negative attitude on people. People have many reasons for owning a computer and one is friends. Did you @CAPS5 some people own computers because they want to stay in touch with friends from differnt states who live far away. For example, many people use @CAPS1 or @CAPS2 to connect with friends. I can make a connection because I have both a @CAPS1 and @CAPS2 that I use to stay in contact with family friends from all over. Some people, like myself, even have friends from different countries! I @CAPS5 that many people want to learn about people from differnt countries and this is one way to do it right now I am learning some new things about the @LOCATION1 because I am friends with someone who lives in @LOCATION2. While on this wonderful adventure of learning you @MONTH1 even get yourself into a vacation adventure. A recent test was taking stating that @NUM1 out of @NUM2 people like to travel but don't @CAPS5 where. Some people say that people spend to much time on the computer but not enough enjoying nature.These people are wrong if one is on a computer and they are chating with someone from a differnt state or country then that person might persuade them to take a visit there. For example they would be able to go to the internet type in the place they want to visit and get photographs and information about the place. As a result, people would still get to enjoy nature. Sometimes using the computer could be educational. Many people @MONTH1 disagree with that statement but its true. For example when on the computer many people in their senior year of high school use it to take online college courses to get their degree because going to a regular college @MONTH1 affect their work scheduale. This could also help students in any grade learn more about the topic they are studing. It would also help them on their reports. For example they would be able to get pictures and other information anytime they wanted to. As a result, the students grades would increase. I hope many of you agree with my statement and help spread the word that computers could be positive on the mind. As a result for those who didn't agree with the statement that they are positive not negative I hope that you will redecide on your opion."	4	4		8																					
61	1	"Do you spend all or most of your freetime sitting at your computer? People are spending too much time on computers. Obesity is a growing problem in today's society, people need to interact with eachother, and we need to get some fresh air. Computer are ruining these things for people. Unplug yourself from your computer. More and more people are becoming obese. This is do to spending too much time sitting down in front of computers. There is absolutely no exercise involved with being on your computer. People need to get outside and go jogging, play games or ride their bikes. Cutting back on computer time would cut back on the obesity problem in our society. Top scientists and researchers say that it is extremely important for people to interact with others face to face. To our whole life, we will have to interact and socialize with others. If you don't develop these skills, you won't be happy where you end up. Talking to people over the computer is nowhere near close to talking to someone face to face. Get out and get some fresh air. Go experience nature. Bring out on the beach, hiking in the woods or even just sitting on the swing in your backyard can be the most. Fresh air clear your mind. Time says that kids who spend time outside receive better grades than they would if they were inside on the computer. People need to releave stress so go outside. Click turn off your computers and get out of your chair. Go get some exercise, go interact with friendsand family, or even just go outside and get some fresh air while relaxing. People are wasting too much time on their computers and it's flushing our society down the toilet, so just turn off your computer."	4	4		8																					
66	1	"Wouldnt it be great to use computers in everyday life? In this country we can. You can use it to talk to people you never thought you would see again. Looking at places far away is always an option. You can even simply use it to help with homework essays. Locating and researching, even going to different countries, even different continents is possible to do on the computer. You can buy plan tickets. reserve rooms, even reserve tables at resturants in different countries by just a few clicks. Another thing is, you can research countries, towns, and cities with google instead of having to go out and get books. Reading about and talking to people from different countries is always an option. Being able to talk. and read about people and go to countries just by a clicking a button is pretty amazing. Computers also allow us to talk and communicate to people when there is no other way. The computers give people the ability to talk and see people they they the would never communicate with anymore. An example of this is my father hadn't see his father since he was two, but he started communicating with him and we were able to see him and chat with him through web chat. So these web chatting websites; ooVoo, facebook, myspce, skype, etc, is allowing people to reconnect. This advantage is allowing friendships and relationships to continue, is that really bad? Computers can help people with their homework and essays. For instint, they can type and print their essays instead of having to write it on paper. This helps because first it makes their, it also can be changed quicker and easier. They also can get information about what they are studying quickly and more efficiently. Instead of searching for a word in a big dictionary they can use an online dictionary and just have to type in the word. Online dictionary also have prounociation help and different langages. This helps so much so they can get their work done and exercise, enjoy nature, or interact with family and friends. I hope you will take my opinion seriously and think about it is using computers for daily needs really that bad?"	5	4		9																					
76	1	"Dear local newspaper, @CAPS1 best friend, @LOCATION2, was once a nerd with no hand-eye coordination, @CAPS2, he started to use a computer and now he has better hand-eye coordination than me. Computer not only teaches hand-eye coordination, but @CAPS3 gives people the ability to learn about far away places and people,and millons people to talk on line with other people. @CAPS1 friend wasn't the only person who learn hand-eye coordination. About @PERCENT1 of people learn hand-eyes coordination using a computer. @CAPS3 might takes some month to learn, but once a child knows @CAPS3, they will be outside for hours. Who would not want to learn hand-eye coordination? In addition, computer gives people the ability to learn about far away places and people. Computer engineer, @PERSON1, says, ""@NUM1 in every @NUM2 people learn about places and people threw the internet."" @CAPS3 will take a few hours, but you will be educated. Why would someone think we are spending too much time in the internet if we are being educated? Addionally, don't you have a friend who live more than @NUM3 miles away from you? If you do, @CAPS2 a computer will solve your problem of communication. @CAPS1 friend, @LOCATION1, lives @NUM4 miles away from me. We communicate using hotmail, yahoo, and facebook. The best thing of all is that is free unlike a telephone. Futhermore, computer specialist, @PERSON2, says, ""I learned hand-eye coordination using a computer. Most importantly, i was able to hand in @CAPS1 essay on time because of the information a computer provides and i was able to communicate with @CAPS1 family."" I didn't want to tell you this, but i was also a nerd with no hand-eye coordination and i learned just like @LOCATION2 learned. We aren't spending too much time, we are just being educated."	4	4		8																					
81	1	"Dear Local Newspaper, I think that using computers is a good thing and it does not effect on exercising, enjoying nature, and interacting with family and friends. Here are three reasons to support my oppinion people learn more on the internet, children at school can go online to find what was for homework, and how the internet does not effect everyday life. My first reason why I think using computers is good because people learn more on the internet, You know what people say, you learn something new everyday. Well, if you are wondering about something or if you're think about something, the internet can help you find what you're looking for, @ORGANIZATION1 is a great site to find what you're looking for. It also has its own images if you need a picture for your project you need. My second main reason to why using the internet is good because if your a @CAPS1, you can go online to check what you have for each subject. If your a @CAPS1 and you don't want to do homework at recessthe next day from being sick. No, you can go online to your schools website and click on your teachers names to see what you have for homework. This way you can still have time to go out side, play with friends, and interact with family members. My third and final reason to why using the internet is good is that it effects everyday life, in a good way. If you don't have a t.v. and you have no idea what the weather is like, you can go online to see if it's going to be snowy, or rainy. This can tell you if you need a jacket or a rain jack, if you need to use a shovel or hold an umbrella. The internet can be useful in everyday life. In conclusion, I think using the internet is very good and will not effect your exercise, or interacting with family. To support this I stated, people learn more on the internet now, children can access homework if you missed a day, and how the internet effects your everyday life in a good way."	4	4		8																					
83	1	"Dear Newspaper Computers have been a great learning source and i think it's time we give them some cridit insted of worrying over them. I will be telling you about how I think computers are great. One reason they are vary helpful is that books dont always have all of the information. So if you need to know a fact or need more information for a project you can go on the computer and it's all right there and you will have known more facts then when you started. The second reason is that you can be almost anywhere and half acess to a computer and you might not have a phone but you can talk or send a message. Not everyone has a phone but computers are a secondary way to have a conversation with someone. Another reason, is its not always sunny outside and when it is a rainy day you have a fun way to play and learn without having to be outside. The computer dosnt replace the outdores or exercising it is just a passtime when you dont have the oppertunity to be outside. I hope you liked and understod my reasons and will take them in to concideration when going over the topic."	3	4		7																					
92	1	"Dear local Newspaper; @CAPS1 you know that computers teach you to do many things? You probably do! I understand you would like to know my opinion on whether or not computers have a positive or negative effect on people. Well, I think that it has a positive effect. Computers teach you how to type and learn the moun keys. It also helps you to look things up like people, states, and etc. Lastly, it helps you to interact with other students when not in school. i encourage you to continue reading to hear my wonderful and strategic ideas. First of all, I think that computers have a positive effect on people because it gives you the learning skills to learn how to type I remember last year in @NUM1 grade, the tech ed teacher, ma @LOCATION4, told to go on a website that was all about learning how to type. It told us that the main keys were. A,@CAPS2,@CAPS3,@CAPS4 and @CAPS5,@CAPS6,@CAPS7, and colon(;). It was very helpful. From then on I typed like that. I think that learning how to type is an excellent thing. Typing helps you if you want to become a secretary or even a newspaper editor. My mother is a secretary down town at the low form called: @ORGANIZATION1. She works for three houses so she learned to type really fast. Typing is a big part of your life. You can use it for a project that you have to do for class, or an essay lthat you have to type to apply for a scholarship ro colege. Typing is used everywhere, even in math class my teacher types up things and pits them on the @CAPS8 @CAPS9. In addition, computers have a positive affect on people because they help look up famous people, states, countries, and etc. I remember on @NUM2 grade I @CAPS1 a project on @CAPS10, and in @NUM3 grade I @CAPS1 a powerpoint on I've also done a project on @LOCATION1 in @NUM1 grade, I @CAPS1 one on @PERSON1 this year for music, and I'm beginning one on @LOCATION2 and @LOCATION3. As you can tell, I've been using a computer, basically my whole life, except when I was a baby, but now that I think about it, when @CAPS11 a baby I got a little fake computer. i know computers are @LOCATION1 but they do have a positive effect on people. When was the last time you need a computer to help you look up something or someone? Priority not too long ago. Computers are the real dael. They can help you do anything. They've helped me my whole life. To be continued, computers have a positive effect on people. They help interact with other people students, and fa mily members, when not in contact. I remember when my cousin moved away. i was so sad. I didn't went her to leave. So then she gave me her email to contact her on the computer so I could talk to her. The computer has many websites where people can interact like: @CAPS12, @CAPS14, @CAPS13, aol, msn, yahoo, g-mail, twitter, and many more. i like talking to people from all over the country. I talk to my friend when I'm at home. i talk to family members. My favorite website is @CAPS14. I am a fanatic of it. It'@CAPS2 spo much fun. Do you have a favorite interaction website? @CAPS1 you have any interaction websites? If you don't you should get one. This is why computers have a positive effect on people. In conclusion, i think that computers have a positive effect on people. One because they can interact with others. Two: they can look up things to help them. Three, they can develop a sense of typing. Thank you for reading my letter which I 'm sure has persuaded you to agree with me on how computers have a positive effect on people."	5	6		11																					
99	1	"Dear @CAPS1: Have you been sent a photo of a @NUM1 year old child with no clothes on? Well, if you have this is called sexting. It can be put on the computer or any type of device. People should stop using Computers more because it can lead to bad things like sexting from teens, bad for the younger kids, and teens could be, talking to someone they don't know. Lexi @NUM1, says that ""she has goting facebook texts to her cell phone of other teenage kids that are excuset"". @PERCENT1 of @LOCATION1 population teenagers have @CAPS2, @CAPS3 and @CAPS4 chat. Any of these websites can ford photos to their mobile device. This has goting out of the hand and what ever is on the computer now will be on forever. More childern under the age of @NUM3 years old are on the computer know. Where there are chat rooms were they can interact with others. For example, @PERSON1 is a childerns game that has a chating interaction, were you can talk to who ever. But, we you create this @PERSON1 you child has to give a parents email address were they have to read the following terms to chose for their child. But, most parents don't even read it . @PERCENT2 of these parents just agree to these terms and don't even read them. @PERSON2, was followed home from soccer practice when a man about @NUM4"" and around the age of @NUM5 said ""@PERSON2 come get some candy"" @PERSON2 said ""how do you know my name""? ""@CAPS5 said cause I play with you all the time"" @PERSON2 quickly ran home and @CAPS5 told his parents. @PERSON2 plays on @CAPS6 another intraction game and told this stranger @CAPS5 lives in @LOCATION2 field and @CAPS5 goes to @LOCATION2 @CAPS7. Giving strangers you information they can trace you down and find the street you live on. We need to keep our children safe and off of the computers more so sexting, and young children stay off, so kidnapping stops. Help @LOCATION1, @CAPS8 to become a safe place for our childern."	4	4		8																					
102	1	"Dear Local Newspaper, Experts should not be concerned about other people that stay on the computer for a while. Maybe people know what they are doing and have to stay on computers for a long time. They also might like to learn things that they never thought about learning. Most people try not to be overweight. Experts should Not try to have less people on the computer. One reason is that people can chat with one another. It can be friends, families, and more. About @PERCENT1 of people chat online with families or friends. Chatting can also help you like if there is an emergency. You can tell someone what is going on and call the cops. Without a doubt chatting online is a great way to use the computer during the time your on it. Another reason is that you can search anything you need to know. Maybe if you have to search something for school, the computer can help you. This can have positive effects on people. It can make someone a better person. You can't agree that getting to search anything is a fantastic way of using a computer for a while. A third reason is that it can teach you hand-eye coordination and gives people the ability to learn about faraway places and people. Learning about things you have never dreamed about learning. There are many people and places in the world that you still have to learn about. Is it surprising to you that almost everyone and anyplace that is famous is on the internet. Using the computer this way is another terrific idea. These are all great ways of using the computer. Being on the for a while is not a waste of time. People can you their time wisly on the computer. Surprisingly it is true that all of the reasons are good for the time being on the computer. So you should try to make people be on the computer less often."	4	4		8																					
103	1	"Dear Local Newspaper, Have you ever been running late to a party and just realize you don't have the directions to the person's house? Have you ever had to write a paper and there wen't any books or encyclopedias available? Or have you ever just wanted to catch up with an old friend? @CAPS1 you answered yes to at least one of these questions, there is a good chance you have used a computer in your lifetime. Computers have positive effects because they can give you quick and reliable @CAPS2 and the can be fun too. To begin with let's go back to that example in the paragraph above. Have you ever been running late to a party and realize you do not have the direction's to the person's house? @CAPS1 you have, there are two things you can do in that situation. You can call up the person who probably wan't answer because they're @CAPS4 fun at their party, or you can go on the computer, type the person's address in and you will have your directions in seconds. Call me crazy, but this way seems quicker more efficient and reliable. My mother always says to me, ""@CAPS1 you're @CAPS4 trouble finding @CAPS2, go on the computer,"" because she knows that there is all the @CAPS2 in books on the @CAPS3, and more. And it's just one click away, @CAPS4 sold that, the computer has positive effects on you because it gives you quick and reliable @CAPS2 In addition, computers have positive effects on you when you're trying to have fun. For example, @CAPS5. @CAPS5 is used by teens and adults like, and for one reason only, to socialize with friends via computer. @CAPS1 you to another date and wait to see what your last friend's up the best thing to do would be to go on @CAPS5 and ask A @ORGANIZATION1 shows that in a family of five, four of them use the @CAPS3 to communicate and socialize with friends. Obviously, this is how computers have a positive effect. In conclusion, whether you're bored at home and it's a rainy day, or @CAPS1 you have to nght a research paper you saved until the last minute, a computer will be there for you. Positive effects computers have - are that they are quick and reliable, and they are fun to use."	5	4		9																					
108	1	"I saw in one of the news papers I got in the mail that had an overnight for people to state their opinion on kids computer useage. I took the idea of waiting this letter. Multiple people do have to use computers for multiple things. Such as: homework assignments such as essays, sometimes peoples family members go off to was but can't use cell phones, also online job alpications. To start off with, kids have homework assignment right? Most of the time people have to do essays. I ask my mom lots of times if I can do an essay for school, she say, ""why don't you stay after to do it?"" @CAPS1 have lives so they can't stay after, also at school the computers don't let you go on most websites unlike at home which does. That's mostly one main reasons kids use computers alot. Next,, some family members go off to war. Normally for safly and privacy, they wont let the soldiers life their cellphones, but for other reasons they can use their computers. Usually your family members know that you have a computer and want to contact you so that they to know their ok so they don't have to for two years. So, the base they ace at you can talk to them over video mail. I have an @CAPS2 that went to @ORGANIZATION1 and is now in @LOCATION2, and we sometimes talk to him over chat when he was in @LOCATION1. Lastly, job aplications. Most of the time people are home bound but need a job. Tons of @CAPS3 commertials show avertisements for jobs online. This is good for all types for people, homebound, elderly, ect. But mostly its good because they sometimes let you have your own business and you get good pay still. In conclution, Some people don't go online just to be online they actually are doing something such as talking to their loved ones that they wont see for along period of time, also school assignments. Plus, if people don't know people very well how do they know if they're active or not kids, and adults, should still be able to use computers when ever they want."	4	4		8																					
